"BottomBalanced11.champName","BottomBalanced11.winRate.x","BottomBalanced11.gamesPlayed.x","BottomBalanced11.gamesWon.x","BottomBalanced11.winRate.y","BottomBalanced11.gamesPlayed.y","BottomBalanced11.gamesWon.y"
"Aphelios",0.4918,1109657,545729,0.4914,1644235,807977
"Ashe",0.5159,2111742,1089448,0.5107,2341433,1195770
"Caitlyn",0.5041,2745684,1384099,0.5052,2816421,1422856
"Cassiopeia",0.5241,89884,47108,0.5177,82467,42693
"Draven",0.5018,693034,347764,0.5023,716400,359848
"Ezreal",0.4951,4001815,1981299,0.5,4692349,2346174
"Jhin",0.5195,2207489,1146791,0.5203,2242161,1166596
"Jinx",0.5185,1780442,923159,0.5181,1763355,913594
"Kai'Sa",0.4792,2327351,1115267,0.4804,2180927,1047717
"Kalista",0.487,494486,240815,0.4883,555365,271185
"Kog'Maw",0.5212,226601,118104,0.5232,245436,128412
"Lucian",0.4733,1801327,852568,0.474,1582752,750224
"Miss Fortune",0.5047,2197214,1108934,0.5034,2050270,1032106
"Sivir",0.5088,546028,277819,0.5086,554122,281826
"Syndra",0.4963,95885,47588,0.4975,105049,52262
"Tristana",0.4901,1141696,559545,0.4915,1104587,542905
"Twitch",0.5138,472035,242532,0.5135,570559,292982
"Varus",0.5045,1474732,744002,0.4857,1083629,526319
"Vayne",0.509,2072343,1054823,0.5094,2031079,1034632
"Xayah",0.4858,653738,317586,0.4916,759419,373330
"Yasuo",0.529,395808,209382,0.5216,398009,207601
