"BottomMerged7.champName","BottomMerged7.winRate.x","BottomMerged7.gamesPlayed.x","BottomMerged7.gamesWon.x","BottomMerged7.winRate.y","BottomMerged7.gamesPlayed.y","BottomMerged7.gamesWon.y","BottomMerged7.HOlessequal","BottomMerged7.HOgreaterequal","BottomMerged7.HOequal"
"Caitlyn",0.5029,4048416,2035948,0.5022,3934300,1975805,0.976,0.024,0.048
"Cassiopeia",0.5348,109644,58638,0.5365,109729,58870,0.2124,0.7876,0.4247
"Draven",0.4983,986026,491337,0.497,963765,478991,0.9653,0.0347,0.0694
"Ezreal",0.4851,4487386,2176831,0.4869,4506839,2194380,0,1,0
"Heimerdinger",0.5167,102995,53218,0.5144,104721,53868,0.8538,0.1462,0.2924
"Jhin",0.5183,3156246,1635882,0.516,3076039,1587236,1,0,0
"Jinx",0.5133,2644325,1357332,0.5129,2572146,1319254,0.8195,0.1805,0.361
"Kai'Sa",0.4723,2866493,1353845,0.4724,2632075,1243392,0.4074,0.5926,0.8149
"Kindred",0.4979,41285,20556,0.4971,31715,15766,0.5838,0.4162,0.8324
"Kog'Maw",0.5164,234949,121328,0.5157,294394,151819,0.694,0.306,0.6119
"Lucian",0.4876,2592655,1264179,0.4838,2466944,1193508,1,0,0
"Miss Fortune",0.5218,4417391,2304995,0.5204,4431960,2306392,1,0,0
"Quinn",0.4885,44206,21595,0.4831,45606,22032,0.9477,0.0523,0.1046
"Sivir",0.5044,591712,298460,0.503,598143,300866,0.9367,0.0633,0.1265
"Tahm Kench",0.5108,54356,27765,0.5075,24947,12661,0.8048,0.1952,0.3904
"Taliyah",0.5251,19739,10365,0.5114,16638,8509,0.9954,0.0046,0.0093
"Twitch",0.5083,570495,289983,0.5097,624504,318310,0.0631,0.9369,0.1263
"Vayne",0.5102,2712878,1384110,0.5098,2716910,1385081,0.8243,0.1757,0.3515
"Veigar",0.5294,130425,69047,0.5278,128752,67955,0.7931,0.2069,0.4139
"Yasuo",0.5301,473322,250908,0.5311,518722,275493,0.1595,0.8405,0.3191
"Ziggs",0.5256,77040,40492,0.5253,93674,49207,0.5486,0.4514,0.9028
