"BottomRisk13.champName","BottomRisk13.winRate.x","BottomRisk13.gamesPlayed.x","BottomRisk13.gamesWon.x","BottomRisk13.winRate.y","BottomRisk13.gamesPlayed.y","BottomRisk13.gamesWon.y","BottomRisk13.HOlessequal","BottomRisk13.HOgreaterequal","BottomRisk13.HOequal","BottomRisk13.riskDifference","BottomRisk13.riskLower","BottomRisk13.riskUpper"
"Ashe",0.5138,2638200,1355507,0.5272,3574443,1884446,0,1,0,-0.0134,-0.0138,-0.013
"Caitlyn",0.5063,2854421,1445193,0.505,2803428,1415731,0.999,0.001,0.002,0.0013,9e-04,0.0017
"Jhin",0.5222,2352272,1228356,0.5195,2352152,1221943,1,0,0,0.0027,0.0022,0.0032
"Kai'Sa",0.4824,2436930,1175575,0.4834,2430480,1174894,0.0136,0.9864,0.0273,-0.001,-0.0015,-5e-04
"Kog'Maw",0.5214,336417,175408,0.5163,410489,211935,1,0,0,0.0051,0.0039,0.0063
"Miss Fortune",0.5042,1935976,976119,0.5015,1774195,889759,1,0,0,0.0027,0.0022,0.0032
"Sivir",0.5099,561454,286285,0.5077,556119,282342,0.99,0.01,0.0201,0.0022,0.0013,0.0031
"Tristana",0.4905,1058335,519113,0.4884,1036554,506253,0.9988,0.0012,0.0024,0.0021,0.0014,0.0028
"Twitch",0.5145,652796,335864,0.511,765816,391332,1,0,0,0.0035,0.0027,0.0043
"Xayah",0.4914,736860,362093,0.4887,687334,335900,0.9994,6e-04,0.0013,0.0027,0.0019,0.0035
