"JungleMerged12.champName","JungleMerged12.winRate.x","JungleMerged12.gamesPlayed.x","JungleMerged12.gamesWon.x","JungleMerged12.winRate.y","JungleMerged12.gamesPlayed.y","JungleMerged12.gamesWon.y","JungleMerged12.HOlessequal","JungleMerged12.HOgreaterequal","JungleMerged12.HOequal"
"Amumu",0.5232,873615,457075,0.5206,804296,418716,0.9996,4e-04,8e-04
"Cho'Gath",0.4785,51629,24704,0.4827,51930,25067,0.0872,0.9128,0.1745
"Diana",0.4734,119304,56479,0.4667,107630,50231,0.9993,7e-04,0.0014
"Dr. Mundo",0.5135,171175,87898,0.5115,165964,84891,0.8767,0.1233,0.2465
"Ekko",0.5066,1503649,761749,0.5072,1630859,827172,0.1443,0.8557,0.2885
"Elise",0.4999,670708,335287,0.498,633349,315408,0.9849,0.0151,0.0301
"Evelynn",0.4893,769912,376718,0.4888,708628,346377,0.7285,0.2715,0.543
"Gragas",0.4468,296954,132679,0.445,258030,114823,0.9109,0.0891,0.1782
"Graves",0.5031,1360244,684339,0.5046,1450964,732156,0.006,0.994,0.012
"Hecarim",0.5046,791243,399261,0.5022,629466,316118,0.9978,0.0022,0.0045
"Ivern",0.5043,163066,82234,0.5001,148579,74304,0.9904,0.0096,0.0191
"Jarvan IV",0.4974,739702,367928,0.4923,681428,335467,1,0,0
"Jax",0.4909,772109,379028,0.4901,726856,356232,0.8362,0.1638,0.3276
"Karthus",0.4805,194832,93617,0.4778,203236,97106,0.956,0.044,0.088
"Kayn",0.5129,2302060,1180727,0.5084,2464162,1252780,1,0,0
"Kha'Zix",0.4879,703372,343175,0.488,700791,341986,0.4527,0.5473,0.9054
"Kindred",0.4875,317703,154880,0.483,321301,155188,0.9998,2e-04,3e-04
"Lee Sin",0.4762,2558514,1218364,0.4724,2495263,1178762,1,0,0
"Malphite",0.4656,146893,68393,0.4644,135866,63096,0.7384,0.2616,0.5232
"Master Yi",0.5142,1668153,857764,0.5093,1592777,811201,1,0,0
"Nidalee",0.4686,496922,232858,0.4673,564623,263848,0.91,0.09,0.18
"Olaf",0.4967,765541,380244,0.4873,704180,343147,1,0,0
"Pantheon",0.4471,120757,53990,0.4469,112343,50206,0.5381,0.4619,0.9238
"Poppy",0.5038,132166,66585,0.505,112416,56770,0.2769,0.7231,0.5538
"Rammus",0.523,586117,306539,0.5226,567330,296487,0.666,0.334,0.6679
"Rek'Sai",0.4899,387758,189963,0.4877,348310,169871,0.9703,0.0297,0.0594
"Rengar",0.4774,389339,185870,0.4735,365825,173218,0.9997,3e-04,7e-04
"Sejuani",0.4921,326417,160630,0.4884,306885,149883,0.9984,0.0016,0.0032
"Sett",0.5029,334459,168199,0.5016,397739,199506,0.8658,0.1342,0.2683
"Shaco",0.5061,712460,360576,0.504,750874,378440,0.9945,0.0055,0.0111
"Shyvana",0.5205,712462,370836,0.52,680163,353685,0.7221,0.2779,0.5557
"Skarner",0.4974,81882,40728,0.4966,84079,41754,0.6269,0.3731,0.7463
"Sylas",0.4682,432430,202464,0.4647,447096,207766,0.9995,5e-04,0.001
"Taliyah",0.4689,61872,29012,0.4651,72944,33926,0.9187,0.0813,0.1627
"Tryndamere",0.4525,80243,36310,0.453,74788,33879,0.4217,0.5783,0.8433
"Twitch",0.4659,145350,67719,0.4626,162685,75258,0.9668,0.0332,0.0665
"Udyr",0.5146,301895,155355,0.5104,280244,143037,0.9993,7e-04,0.0014
"Warwick",0.5159,1273178,656833,0.5149,1206722,621341,0.9425,0.0575,0.1151
"Wukong",0.5146,515270,265158,0.5109,508587,259837,0.9999,1e-04,2e-04
"Xin Zhao",0.494,489035,241583,0.4908,446011,218902,0.999,0.001,0.002
"Zac",0.5171,992781,513367,0.5152,943653,486170,0.9959,0.0041,0.0082
