"JungleRisk2.champName","JungleRisk2.winRate.x","JungleRisk2.gamesPlayed.x","JungleRisk2.gamesWon.x","JungleRisk2.winRate.y","JungleRisk2.gamesPlayed.y","JungleRisk2.gamesWon.y","JungleRisk2.HOlessequal","JungleRisk2.HOgreaterequal","JungleRisk2.HOequal","JungleRisk2.riskDifference","JungleRisk2.riskLower","JungleRisk2.riskUpper"
"Cho'Gath",0.4832,63129,30504,0.4782,69607,33286,0.9657,0.0343,0.0685,0.005,0.0023,0.0077
"Dr. Mundo",0.509,287584,146380,0.5166,322968,166845,0,1,0,-0.0076,-0.0089,-0.0063
"Evelynn",0.4813,522756,251602,0.4843,608418,294657,7e-04,0.9993,0.0014,-0.003,-0.0039,-0.0021
"Gragas",0.4596,415783,191094,0.4617,569947,263145,0.0194,0.9806,0.0388,-0.0021,-0.0031,-0.0011
"Graves",0.4965,464295,230522,0.5001,575303,287709,1e-04,0.9999,3e-04,-0.0036,-0.0046,-0.0026
"Hecarim",0.4874,469761,228962,0.4904,499079,244748,0.0016,0.9984,0.0032,-0.003,-0.004,-0.002
"Ivern",0.5111,117661,60137,0.5017,115448,57920,1,0,0,0.0094,0.0073,0.0115
"Jax",0.501,1081229,541696,0.5057,1079872,546091,0,1,0,-0.0047,-0.0054,-0.004
"Karthus",0.4963,247903,123034,0.4941,392649,194008,0.9568,0.0432,0.0865,0.0022,9e-04,0.0035
"Kha'Zix",0.4946,1067947,528207,0.4958,1176747,583431,0.0363,0.9637,0.0726,-0.0012,-0.0019,-5e-04
"Kindred",0.4849,322001,156138,0.4802,386366,185533,1,0,1e-04,0.0047,0.0035,0.0059
"Master Yi",0.5203,2100888,1093092,0.5229,2381647,1245363,0,1,0,-0.0026,-0.0031,-0.0021
"Nidalee",0.4767,515983,245969,0.4714,606493,285901,1,0,0,0.0053,0.0044,0.0062
"Nocturne",0.5114,934311,477807,0.5141,1042759,536082,1e-04,0.9999,2e-04,-0.0027,-0.0034,-0.002
"Nunu",0.5097,422383,215289,0.5056,450249,227646,0.9999,1e-04,1e-04,0.0041,0.003,0.0052
"Olaf",0.4979,930662,463377,0.5035,1089340,548483,0,1,0,-0.0056,-0.0063,-0.0049
"Pantheon",0.4651,180463,83933,0.4621,211103,97551,0.9696,0.0304,0.0609,0.003,0.0014,0.0046
"Rammus",0.5065,476898,241549,0.5091,495595,252307,0.0052,0.9948,0.0104,-0.0026,-0.0036,-0.0016
"Rek'Sai",0.5009,495437,248164,0.4992,588855,293956,0.9611,0.0389,0.0778,0.0017,7e-04,0.0027
"Rengar",0.4761,535650,255023,0.4794,619858,297160,2e-04,0.9998,4e-04,-0.0033,-0.0042,-0.0024
"Shyvana",0.5195,486290,252628,0.5306,689020,365594,0,1,0,-0.0111,-0.012,-0.0102
"Sylas",0.4772,169135,80711,0.4819,212433,102371,0.0019,0.9981,0.0039,-0.0047,-0.0063,-0.0031
"Taliyah",0.4803,127519,61247,0.477,149733,71423,0.9583,0.0417,0.0835,0.0033,0.0014,0.0052
"Tryndamere",0.4581,97573,44698,0.4662,110624,51573,1e-04,0.9999,2e-04,-0.0081,-0.0103,-0.0059
"Twitch",0.4545,250844,114009,0.4681,186179,87150,0,1,0,-0.0136,-0.0151,-0.0121
"Udyr",0.506,286018,144725,0.5101,330248,168460,7e-04,0.9993,0.0013,-0.0041,-0.0054,-0.0028
"Vi",0.5174,876301,453398,0.5198,935107,486069,6e-04,0.9994,0.0012,-0.0024,-0.0031,-0.0017
"Volibear",0.5188,354155,183736,0.5217,368066,192020,0.0068,0.9932,0.0137,-0.0029,-0.0041,-0.0017
"Warwick",0.52,1334372,693873,0.5211,1477788,770075,0.0326,0.9674,0.0652,-0.0011,-0.0017,-5e-04
"Zac",0.515,816808,420656,0.5173,921867,476882,0.0012,0.9988,0.0025,-0.0023,-0.0031,-0.0015
