"MiddleMerged4.champName","MiddleMerged4.winRate.x","MiddleMerged4.gamesPlayed.x","MiddleMerged4.gamesWon.x","MiddleMerged4.winRate.y","MiddleMerged4.gamesPlayed.y","MiddleMerged4.gamesWon.y","MiddleMerged4.HOlessequal","MiddleMerged4.HOgreaterequal","MiddleMerged4.HOequal"
"Aatrox",0.4892,122630,59991,0.4905,124714,61172,0.2597,0.7403,0.5195
"Ahri",0.5121,1253351,641841,0.5127,1347147,690682,0.1668,0.8332,0.3336
"Akali",0.4293,562135,241325,0.4354,643018,279970,0,1,0
"Anivia",0.518,271497,140635,0.5172,330127,170742,0.731,0.269,0.5379
"Annie",0.5086,336922,171359,0.5073,391896,198809,0.866,0.134,0.268
"Azir",0.4591,251645,115530,0.4592,281217,129135,0.4704,0.5296,0.9409
"Brand",0.4986,172471,85994,0.4959,197301,97842,0.9492,0.0508,0.1017
"Camille",0.5031,58941,29653,0.5155,57295,29536,0,1,0
"Cassiopeia",0.5141,630188,323980,0.5085,664956,338130,1,0,0
"Cho'Gath",0.5149,147202,75794,0.5096,161949,82529,0.9984,0.0016,0.0032
"Corki",0.4735,99930,47317,0.4719,104381,49257,0.7662,0.2338,0.4675
"Diana",0.5296,1470289,778665,0.5286,1742468,921069,0.9632,0.0368,0.0737
"Ekko",0.5195,887571,461093,0.5167,1012830,523329,0.9999,1e-04,1e-04
"Fizz",0.5261,1379959,725996,0.5226,1506152,787115,1,0,0
"Galio",0.4953,330196,163546,0.4956,371584,184157,0.4009,0.5991,0.8018
"Gangplank",0.4727,54665,25840,0.4703,58947,27723,0.7903,0.2097,0.4194
"Heimerdinger",0.5156,147626,76116,0.5112,213940,109366,0.9954,0.0046,0.0093
"Irelia",0.448,625939,280421,0.4536,732351,332194,0,1,0
"Karma",0.498,56040,27908,0.4946,64684,31993,0.8805,0.1195,0.2391
"Karthus",0.478,45060,21539,0.4785,49739,23800,0.44,0.56,0.88
"Kassadin",0.5067,766300,388284,0.5008,891992,446710,1,0,0
"Katarina",0.5051,1446172,730461,0.5077,1571471,797836,0,1,0
"Kayle",0.5191,60949,31639,0.5119,67520,34563,0.9951,0.0049,0.0098
"Kennen",0.5128,50137,25710,0.5158,55175,28459,0.1653,0.8347,0.3306
"Kled",0.5467,47618,26033,0.5582,59371,33141,1e-04,0.9999,2e-04
"LeBlanc",0.4796,1142016,547711,0.4797,1272921,610620,0.4385,0.5615,0.8769
"Lucian",0.4675,351899,164513,0.4659,355653,165699,0.9113,0.0887,0.1774
"Malphite",0.5217,243026,126787,0.5181,290315,150412,0.9956,0.0044,0.0087
"Malzahar",0.5187,647593,335906,0.5155,687454,354383,0.9999,1e-04,2e-04
"Mordekaiser",0.5294,247436,130993,0.5264,276958,145791,0.9851,0.0149,0.0298
"Morgana",0.5194,177051,91960,0.5166,198280,102431,0.9567,0.0433,0.0865
"Nocturne",0.5266,191030,100596,0.5373,280046,150469,0,1,0
"Orianna",0.4894,644485,315411,0.4855,685523,332821,1,0,0
"Pantheon",0.4916,456876,224600,0.493,559992,276076,0.08,0.92,0.16
"Pyke",0.5226,201170,105131,0.5218,215767,112587,0.6971,0.3029,0.6059
"Qiyana",0.4697,613091,287969,0.4638,514743,238738,1,0,0
"Quinn",0.5207,36486,18998,0.5167,39404,20360,0.8644,0.1356,0.2712
"Renekton",0.5119,148849,76196,0.5158,175455,90500,0.0134,0.9866,0.0268
"Riven",0.4902,59333,29085,0.4855,63276,30720,0.9503,0.0497,0.0994
"Rumble",0.5133,319707,164106,0.5164,333479,172209,0.0061,0.9939,0.0122
"Ryze",0.4592,594693,273083,0.4533,607921,275571,1,0,0
"Swain",0.529,134522,71162,0.528,138104,72919,0.6992,0.3008,0.6016
"Syndra",0.483,700013,338106,0.4998,847663,423662,0,1,0
"Taliyah",0.5001,61842,30927,0.5016,66126,33169,0.2951,0.7049,0.5903
"Talon",0.4914,1044550,513292,0.4942,1084968,536191,0,1,0
"Taric",0.6504,73376,47724,0.6365,71792,45696,1,0,0
"Twisted Fate",0.4884,478000,233455,0.4888,522937,255612,0.3442,0.6558,0.6884
"Veigar",0.5066,871613,441559,0.5034,967281,486929,1,0,0
"Vel'Koz",0.5229,372604,194835,0.5306,436936,231838,0,1,0
"Viktor",0.5106,400450,204470,0.507,400031,202816,0.9994,6e-04,0.0013
"Vladimir",0.5049,887529,448113,0.4972,947350,471022,1,0,0
"Wukong",0.5389,122090,65794,0.5346,133662,71456,0.9852,0.0148,0.0296
"Xerath",0.5032,419048,210865,0.5021,487454,244751,0.8517,0.1483,0.2966
"Yasuo",0.5019,2459830,1234589,0.4976,2705490,1346252,1,0,0
"Zed",0.493,1800350,887573,0.4991,1909520,953041,0,1,0
"Ziggs",0.507,363444,184266,0.5062,378610,191652,0.7548,0.2452,0.4904
"Zilean",0.5355,87042,46611,0.5352,114790,61436,0.5526,0.4474,0.8947
"Zoe",0.4766,684769,326361,0.4796,751396,360370,2e-04,0.9998,3e-04
