"MiddleRisk10.champName","MiddleRisk10.winRate.x","MiddleRisk10.gamesPlayed.x","MiddleRisk10.gamesWon.x","MiddleRisk10.winRate.y","MiddleRisk10.gamesPlayed.y","MiddleRisk10.gamesWon.y","MiddleRisk10.HOlessequal","MiddleRisk10.HOgreaterequal","MiddleRisk10.HOequal","MiddleRisk10.riskDifference","MiddleRisk10.riskLower","MiddleRisk10.riskUpper"
"Ahri",0.5135,1259088,646542,0.5109,1042680,532705,1,0,1e-04,0.0026,0.0019,0.0033
"Anivia",0.5154,267015,137620,0.5129,219270,112464,0.9587,0.0413,0.0826,0.0025,0.0011,0.0039
"Aurelion Sol",0.511,122221,62455,0.5151,105962,54581,0.0254,0.9746,0.0507,-0.0041,-0.0062,-0.002
"Brand",0.4937,165281,81599,0.4899,137632,67426,0.9813,0.0187,0.0374,0.0038,0.002,0.0056
"Ekko",0.5129,1132516,580867,0.5113,942603,481953,0.9891,0.0109,0.0217,0.0016,9e-04,0.0023
"Malzahar",0.5172,681291,352364,0.5141,546679,281048,0.9997,3e-04,6e-04,0.0031,0.0022,0.004
"Orianna",0.5039,749635,377741,0.5013,643687,322680,0.9989,0.0011,0.0022,0.0026,0.0018,0.0034
"Pantheon",0.4833,536621,259349,0.4876,396498,193332,0,1,0,-0.0043,-0.0053,-0.0033
"Renekton",0.5103,153942,78557,0.5072,133630,67777,0.9516,0.0484,0.0968,0.0031,0.0012,0.005
"Riven",0.4955,48218,23892,0.4899,42897,21015,0.9544,0.0456,0.0912,0.0056,0.0023,0.0089
"Rumble",0.5181,233352,120900,0.5139,193203,99287,0.9969,0.0031,0.0063,0.0042,0.0027,0.0057
"Veigar",0.5083,961648,488806,0.5058,786757,397942,0.9995,5e-04,0.001,0.0025,0.0017,0.0033
"Vladimir",0.5008,879795,440601,0.4992,753429,376112,0.9792,0.0208,0.0416,0.0016,8e-04,0.0024
"Xerath",0.509,491566,250207,0.5072,398790,202266,0.9545,0.0455,0.091,0.0018,7e-04,0.0029
"Yasuo",0.5054,2252737,1138533,0.5144,2106352,1083507,0,1,0,-0.009,-0.0095,-0.0085
"Zed",0.4975,1657840,824775,0.4957,1439459,713540,0.9992,8e-04,0.0016,0.0018,0.0012,0.0024
"Zoe",0.4823,573629,276661,0.4798,501110,240433,0.9951,0.0049,0.0097,0.0025,0.0015,0.0035
