"SupportMerged5.champName","SupportMerged5.winRate.x","SupportMerged5.gamesPlayed.x","SupportMerged5.gamesWon.x","SupportMerged5.winRate.y","SupportMerged5.gamesPlayed.y","SupportMerged5.gamesWon.y","SupportMerged5.HOlessequal","SupportMerged5.HOgreaterequal","SupportMerged5.HOequal"
"Annie",0.4711,66943,31537,0.467,71799,33530,0.9371,0.0629,0.1258
"Brand",0.5227,1045005,546224,0.5232,1147268,600251,0.2294,0.7706,0.4587
"Braum",0.4851,709142,344005,0.4833,791699,382628,0.9862,0.0138,0.0276
"Fiddlesticks",0.4897,350870,171821,0.4878,353570,172471,0.9448,0.0552,0.1105
"Galio",0.4821,149408,72030,0.481,166632,80150,0.7322,0.2678,0.5357
"Ivern",0.4268,9437,4028,0.4428,9103,4031,0.0141,0.9859,0.0281
"Janna",0.5219,815474,425596,0.5219,838610,437671,0.4998,0.5002,0.9996
"Karma",0.498,669484,333403,0.4968,760254,377694,0.924,0.076,0.1521
"Leona",0.509,2277133,1159061,0.5087,2478764,1260947,0.7435,0.2565,0.5129
"Lulu",0.5082,1039848,528451,0.5073,1200541,609034,0.9106,0.0894,0.1787
"Lux",0.4934,2010087,991777,0.4952,2325293,1151485,1e-04,0.9999,2e-04
"Malphite",0.4901,438733,215023,0.4921,499001,245558,0.0267,0.9733,0.0533
"Maokai",0.5255,213312,112095,0.5267,273761,144190,0.2022,0.7978,0.4044
"Nami",0.5309,1423575,755776,0.5323,1531746,815348,0.008,0.992,0.016
"Nautilus",0.5029,2348031,1180825,0.5018,2432434,1220595,0.9919,0.0081,0.0162
"Poppy",0.4828,69915,33755,0.4809,72675,34949,0.7643,0.2357,0.4714
"Pyke",0.488,1914110,934086,0.4875,1935399,943507,0.8369,0.1631,0.3263
"Rakan",0.487,690141,336099,0.4832,731664,353540,1,0,0
"Shen",0.4865,168455,81953,0.489,184700,90318,0.0688,0.9312,0.1376
"Sion",0.502,34225,17181,0.5015,38501,19308,0.5544,0.4456,0.8912
"Swain",0.5206,692842,360694,0.523,709125,370872,0.0022,0.9978,0.0045
"Tahm Kench",0.4514,188494,85086,0.4494,191477,86050,0.8921,0.1079,0.2159
"Taliyah",0.5021,17761,8918,0.5092,16838,8574,0.0936,0.9064,0.1871
"Taric",0.5266,492838,259528,0.5282,543882,287278,0.0516,0.9484,0.1032
"Thresh",0.4864,2970969,1445079,0.4868,3156245,1536460,0.161,0.839,0.3221
"Vel'Koz",0.511,480541,245556,0.5162,517499,267133,0,1,0
"Volibear",0.4972,95150,47309,0.499,103468,51631,0.2114,0.7886,0.4228
"Yuumi",0.4903,1704854,835890,0.4902,1729966,848029,0.5737,0.4263,0.8526
"Ziggs",0.493,52045,25658,0.495,52459,25967,0.259,0.741,0.518
"Zilean",0.5205,503843,262250,0.5195,552864,287213,0.8477,0.1523,0.3045
"Zyra",0.5154,697957,359727,0.5176,754240,390395,0.004,0.996,0.008
