"TopBalanced7.champName","TopBalanced7.winRate.x","TopBalanced7.gamesPlayed.x","TopBalanced7.gamesWon.x","TopBalanced7.winRate.y","TopBalanced7.gamesPlayed.y","TopBalanced7.gamesWon.y"
"Akali",0.4497,387719,174357,0.4477,385791,172719
"Garen",0.5159,2821079,1455395,0.5165,2754207,1422548
"Kalista",0.4443,143836,63906,0.457,67253,30735
"Nasus",0.5273,2007566,1058590,0.5272,1815032,956885
"Riven",0.4835,726285,351159,0.4798,697460,334641
"Ryze",0.451,275521,124260,0.4603,206353,94984
"Sett",0.507,2044193,1036406,0.4945,1701127,841207
"Urgot",0.4992,688326,343612,0.534,1006151,537285
"Wukong",0.5246,915536,480290,0.5297,841171,445568
